"Invoice";"InboundDate";"Supplier";"OrderDate";"InvoiceDate"
"FFCC141428";"2014-06-03";"PROV1441";"2014-04-19";"2014-06-06"
"FFCC141429";"2014-06-01";"PROV1441";"2014-05-16";"2014-06-04"
"FFCC141430";"2014-06-01";"PROV40001000";"2014-05-03";"2014-06-04"
"FFCC141431";"2014-06-01";"PROV40001825";"2014-05-18";"2014-06-04"
"FFCC141432";"2014-06-05";"PROV40002330";"2014-04-25";"2014-06-08"
"FFCC141433";"2014-06-02";"PROV40000500";"2014-05-10";"2014-06-05"
"FFCC141434";"2014-06-07";"PROV40000850";"2014-05-27";"2014-06-10"
"FFCC141435";"2014-06-05";"PROV1170";"2014-04-30";"2014-06-08"
"FFCC141436";"2014-06-06";"PROV1061";"2014-04-26";"2014-06-09"
"FFCC141440";"2014-06-01";"PROV1397";"2014-04-04";"2014-06-04"
"FFCC141441";"2014-06-06";"PROV40000520";"2014-05-21";"2014-06-09"
"FFCC141442";"2014-06-13";"PROV1129";"2014-05-09";"2014-06-16"
"FFCC141443";"2014-06-10";"PROV40000187";"2014-04-19";"2014-06-13"
"FFCC141444";"2014-06-13";"PROV1650";"2014-05-28";"2014-06-16"
"FFCC141445";"2014-06-13";"PROV40000520";"2014-05-15";"2014-06-16"
"FFCC141446";"2014-06-05";"PROV1657";"2014-05-15";"2014-06-08"
"FFCC141449";"2014-06-01";"PROV1428";"2014-04-08";"2014-06-04"
"FFCC141492";"2014-06-13";"PROV1485";"2014-04-28";"2014-06-16"
"FFCC141495";"2014-06-06";"PROV1014";"2014-05-24";"2014-06-09"
"FFCC141496";"2014-06-03";"PROV1014";"2014-04-22";"2014-06-06"
"FFCC141500";"2014-06-20";"PROV1465";"2014-05-25";"2014-06-23"
"FFCC141501";"2014-06-09";"PROV1027";"2014-04-29";"2014-06-12"
"FFCC141505";"2014-06-01";"PROV1398";"2014-04-30";"2014-06-04"
"FFCC141508";"2014-06-24";"PROV1003";"2014-05-23";"2014-06-27"
"FFCC141509";"2014-06-01";"PROV1597";"2014-04-20";"2014-06-04"
"FFCC141513";"2014-06-10";"PROV1255";"2014-05-20";"2014-06-13"
"FFCC141527";"2014-06-12";"PROV1027";"2014-06-03";"2014-06-15"
"FFCC141528";"2014-06-16";"PROV1027";"2014-04-26";"2014-06-19"
"FFCC141529";"2014-06-12";"PROV1027";"2014-05-15";"2014-06-15"
"FFCC141530";"2014-06-06";"PROV40000500";"2014-05-21";"2014-06-09"
"FFCC141548";"2014-06-25";"PROV40002720";"2014-05-19";"2014-06-28"
"FFCC141549";"2014-06-16";"PROV40002330";"2014-05-29";"2014-06-19"
"FFCC141551";"2014-06-13";"PROV1649";"2014-06-08";"2014-06-16"
"FFCC141552";"2014-06-30";"PROV41000980";"2014-06-16";"2014-07-03"
"FFCC141553";"2014-06-30";"PROV1414";"2014-06-07";"2014-07-03"
"FFCC141554";"2014-06-25";"PROV40000187";"2014-06-09";"2014-06-28"
"FFCC141620";"2014-06-13";"PROV1397";"2014-05-30";"2014-06-16"
"FFCC141622";"2014-06-20";"PROV40000500";"2014-05-24";"2014-06-23"
"FFCC141623";"2014-06-30";"PROV40000500";"2014-05-02";"2014-07-03"
"FFCC141625";"2014-06-30";"PROV40002065";"2014-06-15";"2014-07-03"
"FFCC141626";"2014-06-30";"PROV40002065";"2014-06-19";"2014-07-03"
"FFCC141628";"2014-06-01";"PROV1694";"2014-05-15";"2014-06-04"
"FFCC141629";"2014-06-01";"PROV1694";"2014-05-04";"2014-06-04"
"FFCC141630";"2014-06-17";"PROV1694";"2014-06-01";"2014-06-20"
"FFCC141647";"2014-06-20";"PROV40000520";"2014-05-14";"2014-06-23"
"FFCC141656";"2014-06-30";"PROV1129";"2014-06-07";"2014-07-03"
"FFCC141672";"2014-06-05";"PROV1441";"2014-05-21";"2014-06-08"
"FFCC141673";"2014-06-19";"PROV1441";"2014-05-19";"2014-06-22"
"FFCC141674";"2014-06-01";"PROV1597";"2014-05-29";"2014-06-04"
"FFCC141676";"2014-06-05";"PROV1475";"2014-04-26";"2014-06-08"
"FFCC141680";"2014-06-30";"PROV40002220";"2014-06-18";"2014-07-03"
"FFCC141681";"2014-06-13";"PROV1061";"2014-05-29";"2014-06-16"
"FFCC141682";"2014-06-13";"PROV1061";"2014-05-03";"2014-06-16"
"FFCC141685";"2014-06-01";"PROV1485";"2014-05-20";"2014-06-04"
"FFCC141687";"2014-06-24";"PROV1061";"2014-06-07";"2014-06-27"
"FFCC141688";"2014-06-27";"PROV1734";"2014-05-05";"2014-06-30"
"FFCC141689";"2014-06-01";"PROV1441";"2014-04-13";"2014-06-04"
"FFCC141690";"2014-06-02";"PROV40002220";"2014-05-28";"2014-06-05"
"FFCC141691";"2014-06-01";"PROV1585";"2014-05-24";"2014-06-04"
"FFCC141695";"2014-06-19";"PROV1133";"2014-05-06";"2014-06-22"
"FFCC141696";"2014-06-01";"PROV1597";"2014-04-27";"2014-06-04"
"FFCC141697";"2014-06-01";"PROV40000520";"2014-04-24";"2014-06-04"
"FFCC141698";"2014-06-30";"PROV40000520";"2014-05-30";"2014-07-03"
"FFCC141700";"2014-06-30";"PROV40000850";"2014-05-27";"2014-07-03"
"FFCC141701";"2014-06-23";"PROV40002330";"2014-05-11";"2014-06-26"
"FFCC141702";"2014-06-18";"PROV40001000";"2014-05-17";"2014-06-21"
"FFCC141703";"2014-06-30";"PROV1061";"2014-05-29";"2014-07-03"
"FFCC141706";"2014-06-13";"PROV1485";"2014-05-12";"2014-06-16"
"FFCC141707";"2014-06-09";"PROV1485";"2014-05-18";"2014-06-12"
"FFCC141708";"2014-06-06";"PROV1216";"2014-05-15";"2014-06-09"
"FFCC141709";"2014-06-16";"PROV40001600";"2014-04-30";"2014-06-19"
"FFCC141748";"2014-07-01";"PROV1551";"2014-06-09";"2014-07-04"
"FFCC141751";"2014-07-15";"PROV1129";"2014-06-20";"2014-07-18"
"FFCC141752";"2014-07-01";"PROV1398";"2014-05-19";"2014-07-04"
"FFCC141755";"2014-07-04";"PROV1650";"2014-06-19";"2014-07-07"
"FFCC141756";"2014-07-09";"PROV1003";"2014-06-06";"2014-07-12"
"FFCC141757";"2014-07-15";"PROV40001470";"2014-06-14";"2014-07-18"
"FFCC141758";"2014-07-02";"PROV1484";"2014-05-15";"2014-07-05"
"FFCC141759";"2014-07-07";"PROV1441";"2014-06-15";"2014-07-10"
"FFCC141760";"2014-07-01";"PROV1441";"2014-05-21";"2014-07-04"
"FFCC141761";"2014-07-01";"PROV40000187";"2014-06-21";"2014-07-04"
"FFCC141762";"2014-07-01";"PROV40002330";"2014-05-16";"2014-07-04"
"FFCC141763";"2014-07-01";"PROV1647";"2014-06-23";"2014-07-04"
"FFCC141764";"2014-07-01";"PROV1733";"2014-06-30";"2014-07-04"
"FFCC141780";"2014-07-15";"PROV1465";"2014-06-22";"2014-07-18"
"FFCC141784";"2014-07-15";"PROV41001270";"2014-05-27";"2014-07-18"
"FFCC141799";"2014-07-15";"PROV1734";"2014-06-03";"2014-07-18"
"FFCC141805";"2014-07-08";"PROV1061";"2014-05-20";"2014-07-11"
"FFCC141806";"2014-07-25";"PROV40000500";"2014-06-14";"2014-07-28"
"FFCC141815";"2014-07-15";"PROV1649";"2014-05-29";"2014-07-18"
"FFCC141816";"2014-07-25";"PROV40002720";"2014-06-10";"2014-07-28"
"FFCC141818";"2014-07-18";"PROV40000520";"2014-06-24";"2014-07-21"
"FFCC141826";"2014-07-25";"PROV40000187";"2014-06-06";"2014-07-28"
"FFCC141827";"2014-07-01";"PROV1585";"2014-05-17";"2014-07-04"
"FFCC141831";"2014-07-01";"PROV1485";"2014-06-08";"2014-07-04"
"FFCC141834";"2014-07-23";"PROV40001000";"2014-06-19";"2014-07-26"
"FFCC141838";"2014-07-30";"PROV1129";"2014-06-24";"2014-08-02"
"FFCC141840";"2014-07-31";"PROV41000980";"2014-07-10";"2014-08-03"
"FFCC141843";"2014-07-23";"PROV1694";"2014-06-07";"2014-07-26"
"FFCC141891";"2014-07-11";"PROV40000520";"2014-06-01";"2014-07-14"
"FFCC141892";"2014-07-01";"PROV40000520";"2014-06-07";"2014-07-04"
"FFCC141893";"2014-07-02";"PROV1061";"2014-05-20";"2014-07-05"
"FFCC141910";"2014-07-31";"PROV40000520";"2014-07-07";"2014-08-03"
"FFCC141911";"2014-07-31";"PROV40000882";"2014-07-01";"2014-08-03"
"FFCC141912";"2014-07-23";"PROV1441";"2014-06-29";"2014-07-26"
"FFCC141913";"2014-07-28";"PROV40002330";"2014-06-08";"2014-07-31"
"FFCC141914";"2014-07-30";"PROV40002720";"2014-07-06";"2014-08-02"
"FFCC141915";"2014-07-18";"PROV40000850";"2014-06-17";"2014-07-21"
"FFCC141916";"2014-07-11";"PROV1397";"2014-06-22";"2014-07-14"
"FFCC141917";"2014-07-09";"PROV40002330";"2014-06-23";"2014-07-12"
"FFCC141918";"2014-07-22";"PROV1014";"2014-05-27";"2014-07-25"
"FFCC141919";"2014-07-23";"PROV1014";"2014-06-12";"2014-07-26"
"FFCC141920";"2014-07-01";"PROV1597";"2014-06-11";"2014-07-04"
"FFCC141923";"2014-07-16";"PROV1428";"2014-05-29";"2014-07-19"
"FFCC141926";"2014-07-25";"PROV40000520";"2014-06-11";"2014-07-28"
"FFCC141927";"2014-07-31";"PROV40002065";"2014-07-05";"2014-08-03"
"FFCC141929";"2014-07-03";"PROV40002220";"2014-05-26";"2014-07-06"
"FFCC141931";"2014-07-01";"PROV40000520";"2014-05-23";"2014-07-04"
"FFCC141932";"2014-07-17";"PROV1397";"2014-06-10";"2014-07-20"
"FFCC141933";"2014-07-11";"PROV1485";"2014-06-24";"2014-07-14"
"FFCC141946";"2014-07-24";"PROV40000187";"2014-07-16";"2014-07-27"
"FFCC141947";"2014-07-15";"PROV40000187";"2014-05-23";"2014-07-18"
"FFCC141953";"2014-07-28";"PROV1014";"2014-07-14";"2014-07-31"
"FFCC142048";"2014-08-01";"PROV1485";"2014-07-11";"2014-08-04"
"FFCC142050";"2014-08-01";"PROV1475";"2014-07-08";"2014-08-04"
"FFCC142053";"2014-08-12";"PROV1014";"2014-07-28";"2014-08-15"
"FFCC142054";"2014-08-20";"PROV1003";"2014-07-02";"2014-08-23"
"FFCC142055";"2014-08-11";"PROV1003";"2014-07-24";"2014-08-14"
"FFCC142056";"2014-08-05";"PROV1484";"2014-07-05";"2014-08-08"
"FFCC142057";"2014-08-08";"PROV40000500";"2014-06-27";"2014-08-11"
"FFCC142058";"2014-08-02";"PROV40002330";"2014-07-18";"2014-08-05"
"FFCC142059";"2014-08-06";"PROV1443";"2014-07-17";"2014-08-09"
"FFCC142060";"2014-08-01";"PROV40001000";"2014-06-18";"2014-08-04"
"FFCC142061";"2014-08-06";"PROV1650";"2014-06-13";"2014-08-09"
"FFCC142062";"2014-08-18";"PROV1014";"2014-07-05";"2014-08-21"
"FFCC142071";"2014-08-25";"PROV1441";"2014-08-09";"2014-08-28"
"FFCC142072";"2014-08-20";"PROV1649";"2014-08-16";"2014-08-23"
"FFCC142073";"2014-08-18";"PROV40002330";"2014-07-05";"2014-08-21"
"FFCC142074";"2014-08-31";"PROV40000520";"2014-08-17";"2014-09-03"
"FFCC142076";"2014-08-14";"PROV1428";"2014-08-06";"2014-08-17"
"FFCC142079";"2014-08-01";"PROV1485";"2014-06-18";"2014-08-04"
"FFCC142081";"2014-08-01";"PROV1398";"2014-07-11";"2014-08-04"
"FFCC142085";"2014-08-05";"PROV40000187";"2014-07-12";"2014-08-08"
"FFCC142087";"2014-08-31";"PROV41000980";"2014-08-09";"2014-09-03"
"FFCC142111";"2014-08-05";"PROV1061";"2014-06-14";"2014-08-08"
"FFCC142124";"2014-08-01";"PROV1216";"2014-06-16";"2014-08-04"
"FFCC142125";"2014-08-01";"PROV1216";"2014-07-17";"2014-08-04"
"FFCC142126";"2014-08-14";"PROV1647";"2014-07-09";"2014-08-17"
"FFCC142127";"2014-08-14";"PROV1734";"2014-06-29";"2014-08-17"
"FFCC142128";"2014-08-29";"PROV1129";"2014-07-26";"2014-09-01"
"FFCC142129";"2014-08-04";"PROV1027";"2014-06-16";"2014-08-07"
"FFCC142130";"2014-08-29";"PROV1465";"2014-07-28";"2014-09-01"
"FFCC142131";"2014-08-08";"PROV40002220";"2014-07-03";"2014-08-11"
"FFCC142140";"2014-08-14";"PROV41001800";"2014-07-21";"2014-08-17"
"FFCC142145";"2014-08-12";"PROV1485";"2014-06-26";"2014-08-15"
"FFCC142161";"2014-08-31";"PROV40002065";"2014-07-30";"2014-09-03"
"FFCC142198";"2014-09-15";"PROV40001470";"2014-08-22";"2014-09-18"
"FFCC142199";"2014-09-09";"PROV1014";"2014-08-23";"2014-09-12"
"FFCC142200";"2014-09-16";"PROV1003";"2014-09-01";"2014-09-19"
"FFCC142201";"2014-09-01";"PROV40001000";"2014-08-03";"2014-09-04"
"FFCC142202";"2014-09-02";"PROV1441";"2014-07-24";"2014-09-05"
"FFCC142203";"2014-09-10";"PROV1170";"2014-08-08";"2014-09-13"
"FFCC142204";"2014-09-05";"PROV1014";"2014-08-09";"2014-09-08"
"FFCC142205";"2014-09-01";"PROV40000850";"2014-08-16";"2014-09-04"
"FFCC142206";"2014-09-01";"PROV1014";"2014-07-31";"2014-09-04"
"FFCC142207";"2014-09-01";"PROV1597";"2014-08-06";"2014-09-04"
"FFCC142210";"2014-09-01";"PROV40001825";"2014-07-13";"2014-09-04"
"FFCC142211";"2014-09-01";"PROV1397";"2014-08-02";"2014-09-04"
"FFCC142212";"2014-09-01";"PROV1502";"2014-08-21";"2014-09-04"
"FFCC142213";"2014-09-01";"PROV1061";"2014-07-05";"2014-09-04"
"FFCC142214";"2014-09-01";"PROV1061";"2014-08-10";"2014-09-04"
"FFCC142227";"2014-09-15";"PROV1129";"2014-09-02";"2014-09-18"
"FFCC142232";"2014-09-10";"PROV40001000";"2014-07-22";"2014-09-13"
"FFCC142233";"2014-09-01";"PROV40002330";"2014-07-05";"2014-09-04"
"FFCC142234";"2014-09-05";"PROV40000520";"2014-07-23";"2014-09-08"
"FFCC142235";"2014-09-05";"PROV1061";"2014-08-05";"2014-09-08"
"FFCC142237";"2014-09-11";"PROV1443";"2014-08-13";"2014-09-14"
"FFCC142240";"2014-09-12";"PROV1414";"2014-08-10";"2014-09-15"
"FFCC142245";"2014-09-11";"PROV1441";"2014-08-03";"2014-09-14"
"FFCC142249";"2014-09-11";"PROV1397";"2014-08-21";"2014-09-14"
"FFCC142258";"2014-09-01";"PROV1458";"2014-07-14";"2014-09-04"
"FFCC142264";"2014-09-01";"PROV1485";"2014-07-31";"2014-09-04"
"FFCC142266";"2014-09-09";"PROV1428";"2014-07-13";"2014-09-12"
"FFCC142269";"2014-09-11";"PROV40002220";"2014-09-01";"2014-09-14"
"FFCC142272";"2014-09-15";"PROV1323";"2014-08-04";"2014-09-18"
"FFCC142287";"2014-09-16";"PROV1484";"2014-07-28";"2014-09-19"
"FFCC142293";"2014-09-12";"PROV1485";"2014-07-27";"2014-09-15"
"FFCC142294";"2014-09-11";"PROV1775";"2014-08-07";"2014-09-14"
"FFCC142296";"2014-09-02";"PROV1525";"2014-07-24";"2014-09-05"
"FFCC142300";"2014-09-12";"PROV1572";"2014-08-26";"2014-09-15"
"FFCC142302";"2014-09-09";"PROV1061";"2014-07-26";"2014-09-12"
"FFCC142303";"2014-09-25";"PROV1061";"2014-08-31";"2014-09-28"
"FFCC142312";"2014-09-01";"PROV1585";"2014-08-12";"2014-09-04"
"FFCC142315";"2014-09-20";"PROV1465";"2014-07-28";"2014-09-23"
"FFCC142321";"2014-09-19";"PROV40000520";"2014-08-27";"2014-09-22"
"FFCC142330";"2014-09-25";"PROV1441";"2014-09-16";"2014-09-28"
"FFCC142332";"2014-09-22";"PROV1027";"2014-08-07";"2014-09-25"
"FFCC142335";"2014-09-13";"PROV1734";"2014-08-17";"2014-09-16"
"FFCC142336";"2014-09-19";"PROV1650";"2014-08-18";"2014-09-22"
"FFCC142359";"2014-09-25";"PROV40000187";"2014-09-08";"2014-09-28"
"FFCC142360";"2014-09-19";"PROV40000500";"2014-08-16";"2014-09-22"
"FFCC142367";"2014-09-06";"PROV1585";"2014-08-21";"2014-09-09"
"FFCC142371";"2014-09-18";"PROV1551";"2014-08-29";"2014-09-21"
"FFCC142379";"2014-09-26";"PROV40000500";"2014-07-29";"2014-09-29"
"FFCC142383";"2014-09-11";"PROV1782";"2014-07-25";"2014-09-14"
"FFCC142388";"2014-09-11";"PROV1475";"2014-08-11";"2014-09-14"
"FFCC142393";"2014-09-25";"PROV40002720";"2014-08-10";"2014-09-28"
"FFCC142395";"2014-09-26";"PROV1014";"2014-09-15";"2014-09-29"
"FFCC142407";"2014-09-30";"PROV41000980";"2014-09-11";"2014-10-03"
"FFCC142417";"2014-09-01";"PROV1475";"2014-07-18";"2014-09-04"
"FFCC142421";"2014-09-01";"PROV1398";"2014-07-25";"2014-09-04"
"FFCC142426";"2014-09-08";"PROV41001401";"2014-08-14";"2014-09-11"
"FFCC142438";"2014-09-27";"PROV1734";"2014-08-09";"2014-09-30"
"FFCC142443";"2014-09-01";"PROV1777";"2014-07-20";"2014-09-04"
"FFCC142444";"2014-09-26";"PROV40000520";"2014-08-05";"2014-09-29"
"FFCC142447";"2014-09-29";"PROV40002330";"2014-08-15";"2014-10-02"
"FFCC142461";"2014-09-05";"PROV40002220";"2014-07-31";"2014-09-08"
"FFCC142462";"2014-09-30";"PROV40002065";"2014-08-07";"2014-10-03"
"FFCC142463";"2014-09-12";"PROV40000520";"2014-07-28";"2014-09-15"
"FFCC142464";"2014-09-30";"PROV40000520";"2014-09-18";"2014-10-03"
"FFCC142521";"2014-10-08";"PROV1014";"2014-09-15";"2014-10-11"
"FFCC142522";"2014-10-15";"PROV40001470";"2014-09-25";"2014-10-18"
"FFCC142523";"2014-10-15";"PROV1129";"2014-09-17";"2014-10-18"
"FFCC142528";"2014-10-01";"PROV1597";"2014-09-27";"2014-10-04"
"FFCC142531";"2014-10-10";"PROV1465";"2014-09-16";"2014-10-13"
"FFCC142532";"2014-10-01";"PROV1428";"2014-08-08";"2014-10-04"
"FFCC142536";"2014-10-03";"PROV40000500";"2014-09-17";"2014-10-06"
"FFCC142537";"2014-10-04";"PROV40002330";"2014-09-23";"2014-10-07"
"FFCC142538";"2014-10-11";"PROV40000850";"2014-09-04";"2014-10-14"
"FFCC142539";"2014-10-15";"PROV1003";"2014-08-24";"2014-10-18"
"FFCC142540";"2014-10-15";"PROV1003";"2014-08-31";"2014-10-18"
"FFCC142541";"2014-10-02";"PROV1441";"2014-08-11";"2014-10-05"
"FFCC142542";"2014-10-01";"PROV40001000";"2014-08-29";"2014-10-04"
"FFCC142543";"2014-10-02";"PROV40001000";"2014-08-31";"2014-10-05"
"FFCC142545";"2014-10-15";"PROV1170";"2014-08-18";"2014-10-18"
"FFCC142547";"2014-10-03";"PROV1414";"2014-08-14";"2014-10-06"
"FFCC142548";"2014-10-01";"PROV1647";"2014-09-09";"2014-10-04"
"FFCC142549";"2014-10-07";"PROV1061";"2014-09-23";"2014-10-10"
"FFCC142550";"2014-10-01";"PROV40002065";"2014-08-19";"2014-10-04"
"FFCC142552";"2014-10-20";"PROV40000500";"2014-09-21";"2014-10-23"
"FFCC142564";"2014-10-15";"PROV40000200";"2014-09-25";"2014-10-18"
"FFCC142586";"2014-10-06";"PROV1790";"2014-09-07";"2014-10-09"
"FFCC142590";"2014-10-27";"PROV1194";"2014-09-27";"2014-10-30"
"FFCC142601";"2014-10-17";"PROV1647";"2014-09-06";"2014-10-20"
"FFCC142602";"2014-10-14";"PROV40002330";"2014-09-21";"2014-10-17"
"FFCC142603";"2014-10-20";"PROV40002330";"2014-09-17";"2014-10-23"
"FFCC142607";"2014-10-16";"PROV1441";"2014-09-22";"2014-10-19"
"FFCC142608";"2014-10-21";"PROV40000235";"2014-10-10";"2014-10-24"
"FFCC142609";"2014-10-10";"PROV1216";"2014-08-21";"2014-10-13"
"FFCC142610";"2014-10-10";"PROV1216";"2014-10-04";"2014-10-13"
"FFCC142611";"2014-10-17";"PROV40000520";"2014-09-07";"2014-10-20"
"FFCC142612";"2014-10-17";"PROV1061";"2014-08-31";"2014-10-20"
"FFCC142613";"2014-10-14";"PROV1014";"2014-08-23";"2014-10-17"
"FFCC142614";"2014-10-29";"PROV1775";"2014-10-13";"2014-11-01"
"FFCC142615";"2014-10-01";"PROV1572";"2014-08-27";"2014-10-04"
"FFCC142617";"2014-10-10";"PROV1397";"2014-09-29";"2014-10-13"
"FFCC142618";"2014-10-07";"PROV1133";"2014-08-09";"2014-10-10"
"FFCC142619";"2014-10-07";"PROV1133";"2014-09-14";"2014-10-10"
"FFCC142620";"2014-10-22";"PROV1509";"2014-09-17";"2014-10-25"
"FFCC142621";"2014-10-24";"PROV40000500";"2014-09-13";"2014-10-27"
"FFCC142622";"2014-10-01";"PROV1572";"2014-08-19";"2014-10-04"
"FFCC142624";"2014-10-10";"PROV40000520";"2014-08-21";"2014-10-13"
"FFCC142626";"2014-10-01";"PROV1398";"2014-09-12";"2014-10-04"
"FFCC142632";"2014-10-01";"PROV1585";"2014-09-17";"2014-10-04"
"FFCC142638";"2014-10-01";"PROV40002220";"2014-08-31";"2014-10-04"
"FFCC142641";"2014-10-31";"PROV40001470";"2014-09-15";"2014-11-03"
"FFCC142677";"2014-10-25";"PROV40002720";"2014-10-01";"2014-10-28"
"FFCC142678";"2014-10-30";"PROV40000187";"2014-10-12";"2014-11-02"
"FFCC142679";"2014-10-24";"PROV40000187";"2014-10-02";"2014-10-27"
"FFCC142680";"2014-10-07";"PROV40001000";"2014-09-07";"2014-10-10"
"FFCC142684";"2014-10-01";"PROV1485";"2014-09-10";"2014-10-04"
"FFCC142691";"2014-10-31";"PROV40002065";"2014-09-17";"2014-11-03"
"FFCC142695";"2014-10-24";"PROV40000520";"2014-10-16";"2014-10-27"
"FFCC142708";"2014-10-31";"PROV41000980";"2014-09-12";"2014-11-03"
"FFCC142709";"2014-10-25";"PROV1734";"2014-10-09";"2014-10-28"
"FFCC142710";"2014-10-30";"PROV1734";"2014-09-23";"2014-11-02"
"FFCC142711";"2014-10-29";"PROV1014";"2014-09-09";"2014-11-01"
"FFCC142725";"2014-10-01";"PROV1597";"2014-08-11";"2014-10-04"
"FFCC142726";"2014-10-29";"PROV1027";"2014-09-15";"2014-11-01"
"FFCC142736";"2014-10-31";"PROV40000520";"2014-09-18";"2014-11-03"
"FFCC142746";"2014-10-27";"PROV40002330";"2014-09-29";"2014-10-30"
"FFCC142749";"2014-10-07";"PROV1649";"2014-09-24";"2014-10-10"
"FFCC142752";"2014-10-31";"PROV40002220";"2014-09-19";"2014-11-03"
"FFCC142753";"2014-10-30";"PROV1441";"2014-10-18";"2014-11-02"
"FFCC142764";"2014-10-31";"PROV1264";"2014-09-14";"2014-11-03"
"FFCC142768";"2014-10-15";"PROV41001401";"2014-09-15";"2014-10-18"
"FFCC142806";"2014-11-01";"PROV1129";"2014-09-15";"2014-11-04"
"FFCC142807";"2014-11-03";"PROV40002330";"2014-09-27";"2014-11-06"
"FFCC142808";"2014-11-05";"PROV40001000";"2014-10-22";"2014-11-08"
"FFCC142809";"2014-11-04";"PROV1061";"2014-09-18";"2014-11-07"
"FFCC142810";"2014-11-12";"PROV1734";"2014-10-02";"2014-11-15"
"FFCC142811";"2014-11-18";"PROV1775";"2014-10-23";"2014-11-21"
"FFCC142812";"2014-11-07";"PROV40000520";"2014-10-17";"2014-11-10"
"FFCC142813";"2014-11-05";"PROV1003";"2014-10-17";"2014-11-08"
"FFCC142814";"2014-11-03";"PROV40001000";"2014-10-11";"2014-11-06"
"FFCC142815";"2014-11-13";"PROV1650";"2014-10-20";"2014-11-16"
"FFCC142824";"2014-11-03";"PROV1191";"2014-09-20";"2014-11-06"
"FFCC142849";"2014-11-17";"PROV40002330";"2014-10-13";"2014-11-20"
"FFCC142852";"2014-11-01";"PROV1014";"2014-10-15";"2014-11-04"
"FFCC142854";"2014-11-01";"PROV1397";"2014-10-13";"2014-11-04"
"FFCC142856";"2014-11-14";"PROV40000850";"2014-10-28";"2014-11-17"
"FFCC142865";"2014-11-15";"PROV1465";"2014-10-16";"2014-11-18"
"FFCC142869";"2014-11-20";"PROV1650";"2014-11-01";"2014-11-23"
"FFCC142870";"2014-11-13";"PROV1428";"2014-11-12";"2014-11-16"
"FFCC142873";"2014-11-01";"PROV1485";"2014-09-14";"2014-11-04"
"FFCC142877";"2014-11-01";"PROV1458";"2014-10-02";"2014-11-04"
"FFCC142881";"2014-11-01";"PROV1475";"2014-09-20";"2014-11-04"
"FFCC142922";"2014-11-25";"PROV40002720";"2014-10-08";"2014-11-28"
"FFCC142923";"2014-11-05";"PROV40000187";"2014-09-23";"2014-11-08"
"FFCC142924";"2014-11-24";"PROV1014";"2014-09-30";"2014-11-27"
"FFCC142925";"2014-11-24";"PROV40002330";"2014-10-07";"2014-11-27"
"FFCC142926";"2014-11-19";"PROV1647";"2014-10-28";"2014-11-22"
"FFCC142927";"2014-11-30";"PROV40000010";"2014-11-09";"2014-12-03"
"FFCC142928";"2014-11-30";"PROV40002065";"2014-11-26";"2014-12-03"
"FFCC142929";"2014-11-30";"PROV40002065";"2014-10-31";"2014-12-03"
"FFCC142930";"2014-11-24";"PROV1027";"2014-11-15";"2014-11-27"
