"Product";"Type";"Division";"Group";"ShortDescription";"Description"
"DE0029";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0030";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0031";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0032";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0033";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0034";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0035";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0036";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0037";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0038";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0039";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0040";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0041";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0042";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0043";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0044";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0045";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0046";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0047";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0048";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0049";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0050";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0051";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0052";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0053";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0054";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0055";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0056";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0057";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0058";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0059";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0060";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0061";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0062";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0063";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0064";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0065";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0066";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0067";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0068";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0069";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0070";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0071";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0072";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0073";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0074";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0075";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0076";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0077";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0078";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0079";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0080";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0081";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0082";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0083";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0084";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0086";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0087";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0088";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0089";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0090";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0091";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0092";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0093";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0094";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0095";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0096";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0097";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0098";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0099";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0100";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0101";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0102";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0103";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0104";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0105";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0106";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0107";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0108";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0109";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0110";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0111";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0112";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0113";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0114";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0115";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0116";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0117";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0118";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0119";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0120";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0121";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0122";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0123";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0124";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0125";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0126";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0127";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0128";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0129";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0130";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0131";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0132";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0133";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0134";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0135";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0136";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0137";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0138";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0139";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0140";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0141";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0142";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0143";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0144";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0145";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0146";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0147";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0148";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0149";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0150";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0151";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0152";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0153";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0154";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0155";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0156";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0157";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0159";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0160";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0161";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0162";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0163";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0164";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0165";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0166";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0167";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0168";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0169";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0170";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0171";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0172";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0173";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0174";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0175";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0176";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0177";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0178";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0179";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0180";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0181";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0182";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0183";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0184";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0185";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0186";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0187";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0188";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0189";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0190";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0191";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0192";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0193";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0195";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0196";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0197";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0198";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0199";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0200";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0201";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0202";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0203";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0204";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0205";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0206";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0207";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0208";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0209";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0210";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0211";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0212";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0213";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0214";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0215";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0216";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0217";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0219";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0222";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0224";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0225";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0226";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0227";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0233";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0234";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0235";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0236";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0238";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0239";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0241";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0242";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0243";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0247";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0248";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0249";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0250";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0253";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0254";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0255";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0256";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0258";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0262";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0277";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0287";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0297";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0314";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0315";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0316";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0318";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0319";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0322";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0326";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0328";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0329";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0335";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0389";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
