Product,Type,Division,Group
DE0050,Tipo 3,Division 3,Grupo 2
DE0051,Tipo 3,Division 3,Grupo 2
DE0052,Tipo 3,Division 3,Grupo 2
DE0053,Tipo 3,Division 3,Grupo 2
DE0054,Tipo 3,Division 3,Grupo 2
DE0055,Tipo 3,Division 3,Grupo 2
DE0056,Tipo 3,Division 3,Grupo 2
DE0057,Tipo 3,Division 3,Grupo 2
DE0058,Tipo 3,Division 3,Grupo 2
DE0059,Tipo 3,Division 3,Grupo 2
DE0060,Tipo 3,Division 3,Grupo 2
DE0061,Tipo 3,Division 3,Grupo 2
DE0062,Tipo 3,Division 3,Grupo 2
DE0063,Tipo 3,Division 3,Grupo 2
DE0064,Tipo 3,Division 3,Grupo 2
DE0065,Tipo 3,Division 3,Grupo 2
DE0066,Tipo 3,Division 3,Grupo 2
DE0067,Tipo 3,Division 3,Grupo 2
DE0068,Tipo 3,Division 3,Grupo 2
DE0069,Tipo 3,Division 3,Grupo 2
DE0070,Tipo 3,Division 3,Grupo 2
DE0071,Tipo 3,Division 3,Grupo 2
DE0072,Tipo 3,Division 3,Grupo 2
DE0073,Tipo 3,Division 3,Grupo 2
DE0074,Tipo 3,Division 3,Grupo 2
DE0075,Tipo 3,Division 3,Grupo 2
DE0076,Tipo 3,Division 3,Grupo 2
DE0077,Tipo 3,Division 3,Grupo 2
DE0078,Tipo 3,Division 3,Grupo 2
DE0079,Tipo 3,Division 3,Grupo 2
DE0080,Tipo 3,Division 3,Grupo 2
DE0081,Tipo 3,Division 3,Grupo 2
DE0082,Tipo 3,Division 3,Grupo 2
DE0083,Tipo 3,Division 3,Grupo 2
DE0084,Tipo 3,Division 3,Grupo 2
DE0086,Tipo 3,Division 3,Grupo 2
DE0087,Tipo 3,Division 3,Grupo 2
DE0088,Tipo 3,Division 3,Grupo 2
DE0089,Tipo 3,Division 3,Grupo 2
DE0090,Tipo 3,Division 3,Grupo 2
DE0091,Tipo 3,Division 3,Grupo 2
DE0092,Tipo 3,Division 3,Grupo 2
DE0093,Tipo 3,Division 3,Grupo 2
DE0094,Tipo 3,Division 3,Grupo 2
DE0095,Tipo 3,Division 3,Grupo 2
DE0096,Tipo 3,Division 3,Grupo 2
DE0097,Tipo 3,Division 3,Grupo 2
DE0098,Tipo 3,Division 3,Grupo 2
DE0099,Tipo 3,Division 3,Grupo 2
DE0100,Tipo 3,Division 3,Grupo 2
DE0101,Tipo 3,Division 3,Grupo 2
DE0102,Tipo 3,Division 3,Grupo 2
DE0103,Tipo 3,Division 3,Grupo 2
DE0104,Tipo 3,Division 3,Grupo 2
DE0105,Tipo 3,Division 3,Grupo 2
DE0106,Tipo 3,Division 3,Grupo 2
DE0107,Tipo 3,Division 3,Grupo 2
DE0108,Tipo 3,Division 3,Grupo 2
DE0109,Tipo 3,Division 3,Grupo 2
DE0110,Tipo 3,Division 3,Grupo 2
DE0111,Tipo 3,Division 3,Grupo 2
DE0112,Tipo 3,Division 3,Grupo 2
DE0113,Tipo 3,Division 3,Grupo 2
DE0114,Tipo 3,Division 3,Grupo 2
DE0115,Tipo 3,Division 3,Grupo 2
DE0116,Tipo 3,Division 3,Grupo 2
DE0117,Tipo 3,Division 3,Grupo 2
DE0118,Tipo 3,Division 3,Grupo 2
DE0119,Tipo 3,Division 3,Grupo 2
DE0120,Tipo 3,Division 3,Grupo 2
DE0121,Tipo 3,Division 3,Grupo 2
DE0122,Tipo 3,Division 3,Grupo 2
DE0123,Tipo 3,Division 3,Grupo 2
DE0124,Tipo 3,Division 3,Grupo 2
DE0125,Tipo 3,Division 3,Grupo 2
DE0126,Tipo 3,Division 3,Grupo 2
DE0127,Tipo 3,Division 3,Grupo 2
DE0128,Tipo 3,Division 3,Grupo 2
DE0129,Tipo 3,Division 3,Grupo 2
DE0130,Tipo 3,Division 3,Grupo 2
DE0131,Tipo 3,Division 3,Grupo 2
DE0132,Tipo 3,Division 3,Grupo 2
DE0133,Tipo 3,Division 3,Grupo 2
DE0134,Tipo 3,Division 3,Grupo 2
DE0135,Tipo 3,Division 3,Grupo 2
DE0136,Tipo 3,Division 3,Grupo 2
DE0137,Tipo 3,Division 3,Grupo 2
DE0138,Tipo 3,Division 3,Grupo 2
DE0139,Tipo 3,Division 3,Grupo 2
DE0140,Tipo 3,Division 3,Grupo 2
DE0141,Tipo 3,Division 3,Grupo 2
DE0142,Tipo 3,Division 3,Grupo 2
DE0143,Tipo 3,Division 3,Grupo 2
DE0144,Tipo 3,Division 3,Grupo 2
DE0145,Tipo 3,Division 3,Grupo 2
DE0146,Tipo 3,Division 3,Grupo 2
DE0147,Tipo 3,Division 3,Grupo 2
DE0148,Tipo 3,Division 3,Grupo 2
DE0149,Tipo 3,Division 3,Grupo 2
DE0150,Tipo 3,Division 3,Grupo 2
DE0151,Tipo 3,Division 3,Grupo 2
DE0152,Tipo 3,Division 3,Grupo 2
DE0153,Tipo 3,Division 3,Grupo 2
DE0154,Tipo 3,Division 3,Grupo 2
DE0155,Tipo 3,Division 3,Grupo 2
DE0156,Tipo 3,Division 3,Grupo 2
DE0157,Tipo 3,Division 3,Grupo 2
DE0159,Tipo 3,Division 3,Grupo 2
DE0160,Tipo 3,Division 3,Grupo 2
DE0161,Tipo 3,Division 3,Grupo 2
DE0162,Tipo 3,Division 3,Grupo 2
DE0163,Tipo 3,Division 3,Grupo 2
DE0164,Tipo 3,Division 3,Grupo 2
DE0165,Tipo 3,Division 3,Grupo 2
DE0166,Tipo 3,Division 3,Grupo 2
DE0167,Tipo 3,Division 3,Grupo 2
DE0168,Tipo 3,Division 3,Grupo 2
DE0169,Tipo 3,Division 3,Grupo 2
DE0170,Tipo 3,Division 3,Grupo 2
DE0171,Tipo 3,Division 3,Grupo 2
DE0172,Tipo 3,Division 3,Grupo 2
DE0173,Tipo 3,Division 3,Grupo 2
DE0174,Tipo 3,Division 3,Grupo 2
DE0175,Tipo 3,Division 3,Grupo 2
DE0176,Tipo 3,Division 3,Grupo 2
DE0177,Tipo 3,Division 3,Grupo 2
DE0178,Tipo 3,Division 3,Grupo 2
DE0179,Tipo 3,Division 3,Grupo 2
DE0180,Tipo 3,Division 3,Grupo 2
DE0181,Tipo 3,Division 3,Grupo 2
DE0182,Tipo 3,Division 3,Grupo 2
DE0183,Tipo 3,Division 3,Grupo 2
DE0184,Tipo 3,Division 3,Grupo 2
DE0185,Tipo 3,Division 3,Grupo 2
DE0186,Tipo 3,Division 3,Grupo 2
DE0187,Tipo 3,Division 3,Grupo 2
DE0188,Tipo 3,Division 3,Grupo 2
DE0189,Tipo 3,Division 3,Grupo 2
DE0190,Tipo 3,Division 3,Grupo 2
DE0191,Tipo 3,Division 3,Grupo 2
DE0192,Tipo 3,Division 3,Grupo 2
DE0193,Tipo 3,Division 3,Grupo 2
DE0195,Tipo 3,Division 3,Grupo 2
DE0196,Tipo 3,Division 3,Grupo 2
DE0197,Tipo 3,Division 3,Grupo 2
DE0198,Tipo 3,Division 3,Grupo 2
DE0199,Tipo 3,Division 3,Grupo 2
DE0200,Tipo 3,Division 3,Grupo 2
DE0201,Tipo 3,Division 3,Grupo 2
DE0202,Tipo 3,Division 3,Grupo 2
DE0203,Tipo 3,Division 3,Grupo 2
DE0204,Tipo 3,Division 3,Grupo 2
DE0205,Tipo 3,Division 3,Grupo 2
DE0206,Tipo 3,Division 3,Grupo 2
DE0207,Tipo 3,Division 3,Grupo 2
DE0208,Tipo 3,Division 3,Grupo 2
DE0209,Tipo 3,Division 3,Grupo 2
DE0210,Tipo 3,Division 3,Grupo 2
DE0211,Tipo 3,Division 3,Grupo 2
DE0212,Tipo 3,Division 3,Grupo 2
DE0213,Tipo 3,Division 3,Grupo 2
DE0214,Tipo 3,Division 3,Grupo 2
DE0215,Tipo 3,Division 3,Grupo 2
DE0216,Tipo 3,Division 3,Grupo 2
DE0217,Tipo 3,Division 3,Grupo 2
DE0219,Tipo 3,Division 3,Grupo 2
DE0222,Tipo 3,Division 3,Grupo 2
DE0224,Tipo 3,Division 3,Grupo 2
DE0225,Tipo 3,Division 3,Grupo 2
DE0226,Tipo 3,Division 3,Grupo 2
DE0227,Tipo 3,Division 3,Grupo 2
DE0233,Tipo 3,Division 3,Grupo 2
DE0234,Tipo 3,Division 3,Grupo 2
DE0235,Tipo 3,Division 3,Grupo 2
DE0236,Tipo 3,Division 3,Grupo 2
DE0238,Tipo 3,Division 3,Grupo 2
DE0239,Tipo 3,Division 3,Grupo 2
DE0241,Tipo 3,Division 3,Grupo 2
DE0242,Tipo 3,Division 3,Grupo 2
DE0243,Tipo 3,Division 3,Grupo 2
DE0247,Tipo 3,Division 3,Grupo 2
DE0248,Tipo 3,Division 3,Grupo 2
DE0249,Tipo 3,Division 3,Grupo 2
DE0250,Tipo 3,Division 3,Grupo 2
DE0253,Tipo 3,Division 3,Grupo 2
DE0254,Tipo 3,Division 3,Grupo 2
DE0255,Tipo 3,Division 3,Grupo 2
DE0256,Tipo 3,Division 3,Grupo 2
DE0258,Tipo 3,Division 3,Grupo 2
DE0262,Tipo 3,Division 3,Grupo 2
DE0277,Tipo 3,Division 3,Grupo 2
DE0287,Tipo 3,Division 3,Grupo 2
DE0297,Tipo 3,Division 3,Grupo 2
DE0314,Tipo 3,Division 3,Grupo 2
DE0315,Tipo 3,Division 3,Grupo 2
DE0316,Tipo 3,Division 3,Grupo 2
DE0318,Tipo 3,Division 3,Grupo 2
DE0319,Tipo 3,Division 3,Grupo 2
DE0322,Tipo 3,Division 3,Grupo 2
DE0326,Tipo 3,Division 3,Grupo 2
DE0328,Tipo 3,Division 3,Grupo 2
DE0329,Tipo 3,Division 3,Grupo 2
DE0335,Tipo 3,Division 3,Grupo 2
DE0389,Tipo 3,Division 3,Grupo 2
DE0390,Tipo 3,Division 3,Grupo 2
DE0414,Tipo 3,Division 3,Grupo 2
DE0416,Tipo 3,Division 3,Grupo 2
DE0447,Tipo 3,Division 3,Grupo 2
DE0464,Tipo 3,Division 3,Grupo 2
DE0465,Tipo 3,Division 3,Grupo 2
DE0631,Tipo 3,Division 3,Grupo 2
DE0634,Tipo 3,Division 3,Grupo 2
DE0635,Tipo 3,Division 3,Grupo 2
DEP02400,Unknown,Division 3,Grupo 2
DEP02401,Unknown,Division 3,Grupo 2
DEP02403,Unknown,Division 3,Grupo 2
DEP02404,Unknown,Division 3,Grupo 2
DEP02407,Unknown,Division 3,Grupo 2
DEP024108,Unknown,Division 3,Grupo 2
DEP024109,Unknown,Division 3,Grupo 2
DEP024116,Unknown,Division 3,Grupo 2
DEP024125,Unknown,Division 3,Grupo 2
DEP024137,Tipo 5794,Division 3,Grupo 2
DEP02414,Unknown,Division 3,Grupo 2
DEP024141,Tipo 11594,Division 3,Grupo 2
DEP024143,Unknown,Division 8,Grupo 7
DEP024149,Tipo 5792,Division 3,Grupo 2
DEP024151,Unknown,Division 3,Grupo 2
DEP024156,Tipo 11595,Division 3,Grupo 2
DEP02416,Unknown,Division 8,Grupo 7
DEP024180,Tipo 11596,Division 3,Grupo 2
DEP024182,Unknown,Division 3,Grupo 2
DEP024184,Unknown,Division 3,Grupo 2
DEP024190,Unknown,Division 3,Grupo 2
DEP024191,Unknown,Division 3,Grupo 2
DEP024195,Tipo 5467,Division 1,Grupo 1
DEP02420,Unknown,Division 3,Grupo 2
DEP024201,Unknown,Division 3,Grupo 2
DEP024203,Unknown,Division 8,Grupo 7
DEP024205,Tipo 11597,Division 3,Grupo 2
DEP024215,Unknown,Division 8,Grupo 7
DEP024219,Tipo 5793,Division 3,Grupo 2
DEP024228,Unknown,Division 3,Grupo 2
DEP024230,Unknown,Division 3,Grupo 2
DEP024234,Unknown,Division 3,Grupo 2
DEP02424,Unknown,Division 3,Grupo 2
DEP02431,Unknown,Division 3,Grupo 2
DEP02437,Unknown,Division 3,Grupo 2
DEP02438,Unknown,Division 3,Grupo 2
DEP02439,Unknown,Division 3,Grupo 2
DEP02443,Unknown,Division 3,Grupo 2
DEP02446,Tipo 5719,Division 3,Grupo 2
DEP02448,Unknown,Division 3,Grupo 2
DEP02455,Unknown,Division 3,Grupo 2
DEP02458,Unknown,Division 3,Grupo 2
DEP02459,Unknown,Division 3,Grupo 2
DEP02463,Unknown,Division 3,Grupo 2
DEP02465,Unknown,Division 3,Grupo 2
DEP02480,Tipo 10407,Division 3,Grupo 2
DEP02486,Unknown,Division 3,Grupo 2
DEP02494,Unknown,Division 3,Grupo 2
DEP02498,Tipo 9594,Division 1,Grupo 2
EL0012,Unknown,Division 1,Grupo 1
EL025101,Tipo 7056,Division 1,Grupo 1
EL025102,Tipo 3754,Division 1,Grupo 1
EL025102K,Tipo 7057,Division 1,Grupo 1
EL025104,Tipo 2720,Division 1,Grupo 1
EL025105,Tipo 2721,Division 1,Grupo 1
EL025106,Tipo 3755,Division 1,Grupo 1
EL025107,Tipo 1090,Division 1,Grupo 1
EL025108,Tipo 3756,Division 1,Grupo 1
EL025109,Tipo 5034,Division 1,Grupo 1
EL025110,Tipo 5035,Division 1,Grupo 1
EL025111,Tipo 5036,Division 1,Grupo 1
EL025112,Tipo 2722,Division 1,Grupo 1
EL025113,Tipo 5037,Division 1,Grupo 1
EL025114,Tipo 2723,Division 1,Grupo 1
EL025115,Tipo 5038,Division 1,Grupo 1
EL025116,Tipo 5039,Division 1,Grupo 1
EL025116K,Tipo 5040,Division 1,Grupo 1
EL025117,Tipo 2724,Division 1,Grupo 1
EL025118,Tipo 3757,Division 1,Grupo 1
EL025119,Tipo 3758,Division 1,Grupo 1
EL025119K,Tipo 5041,Division 1,Grupo 1
EL025120,Tipo 1753,Division 1,Grupo 1
EL025120K,Tipo 7059,Division 1,Grupo 1
EL025121,Tipo 5042,Division 1,Grupo 1
EL025122,Tipo 2725,Division 1,Grupo 1
EL025122LK,Tipo 3759,Division 1,Grupo 1
EL025122RK,Tipo 3760,Division 1,Grupo 1
EL025123,Tipo 1091,Division 1,Grupo 1
EL025124,Tipo 5043,Division 1,Grupo 1
EL025125,Tipo 3761,Division 1,Grupo 1
EL025126,Tipo 2726,Division 1,Grupo 1
EL025126K,Tipo 5044,Division 1,Grupo 1
EL025127,Tipo 5045,Division 1,Grupo 1
EL025128,Tipo 40,Division 1,Grupo 1
EL025129,Tipo 1754,Division 1,Grupo 1
EL025130,Tipo 3762,Division 1,Grupo 1
EL025131,Tipo 5046,Division 1,Grupo 1
EL025132,Tipo 5729,Division 3,Grupo 2
EL025133,Tipo 3763,Division 1,Grupo 1
EL025134,Tipo 709,Division 1,Grupo 1
EL025135,Tipo 3764,Division 1,Grupo 1
EL025136,Unknown,Division 1,Grupo 1
EL025137,Tipo 5047,Division 1,Grupo 1
EL025138,Tipo 1755,Division 1,Grupo 1
EL025139,Tipo 5048,Division 1,Grupo 1
EL025140,Tipo 40,Division 1,Grupo 1
EL025188,Tipo 1756,Division 1,Grupo 1
EL02519,Tipo 1092,Division 1,Grupo 1
EL025191,Tipo 3765,Division 1,Grupo 1
EL025194,Tipo 3766,Division 1,Grupo 1
EL02519K,Tipo 2727,Division 1,Grupo 1
EL02520,Tipo 1757,Division 1,Grupo 1
EL025202,Tipo 3767,Division 1,Grupo 1
EL025206,Tipo 3768,Division 1,Grupo 1
EL025207,Tipo 3769,Division 1,Grupo 1
EL025209,Tipo 3770,Division 1,Grupo 1
EL025213,Tipo 1093,Division 1,Grupo 1
EL025215,Tipo 3771,Division 1,Grupo 1
EL02522,Tipo 2728,Division 1,Grupo 1
EL025221,Tipo 3772,Division 1,Grupo 1
EL025221K,Tipo 5049,Division 1,Grupo 1
EL025222,Tipo 2729,Division 1,Grupo 1
EL025222K,Tipo 5050,Division 1,Grupo 1
EL025223,Tipo 710,Division 1,Grupo 1
EL025224,Unknown,Division 1,Grupo 1
EL025225,Tipo 1758,Division 1,Grupo 1
EL025226,Tipo 3773,Division 1,Grupo 1
EL025227,Tipo 3774,Division 1,Grupo 1
EL025228,Tipo 2730,Division 1,Grupo 1
EL025229,Tipo 1759,Division 1,Grupo 1
EL02523,Tipo 2731,Division 1,Grupo 1
EL025230,Tipo 5051,Division 1,Grupo 1
EL025231,Tipo 5052,Division 1,Grupo 1
EL025232,Tipo 5053,Division 1,Grupo 1
EL025233,Tipo 40,Division 1,Grupo 1
EL025233K,Tipo 2732,Division 1,Grupo 1
EL025234,Tipo 3775,Division 1,Grupo 1
EL025234LK,Tipo 5054,Division 1,Grupo 1
EL025234RK,Tipo 5055,Division 1,Grupo 1
EL025235,Tipo 3776,Division 1,Grupo 1
EL025236,Tipo 3777,Division 1,Grupo 1
EL025237,Tipo 1760,Division 1,Grupo 1
EL025238,Tipo 3778,Division 1,Grupo 1
EL025239,Tipo 2733,Division 1,Grupo 1
EL02523K,Tipo 5056,Division 1,Grupo 1
EL02524,Tipo 5057,Division 1,Grupo 1
EL025240,Tipo 1094,Division 1,Grupo 1
EL025241,Tipo 3779,Division 1,Grupo 1
EL025241K,Tipo 7061,Division 1,Grupo 1
EL025242,Tipo 7062,Division 1,Grupo 1
EL02525,Tipo 5058,Division 1,Grupo 1
EL025250,Tipo 3780,Division 1,Grupo 1
EL025251,Tipo 1761,Division 1,Grupo 1
EL025251K,Tipo 3781,Division 1,Grupo 1
EL025252,Tipo 5059,Division 1,Grupo 1
EL025253,Tipo 1095,Division 1,Grupo 1
EL025254,Tipo 1762,Division 1,Grupo 1
EL025255,Tipo 7063,Division 1,Grupo 1
EL025256,Tipo 3782,Division 1,Grupo 1
EL025256LK,Tipo 7064,Division 1,Grupo 1
EL025256RK,Tipo 5060,Division 1,Grupo 1
EL025257,Tipo 5061,Division 1,Grupo 1
EL025257K,Tipo 7065,Division 1,Grupo 1
EL025258,Tipo 3783,Division 1,Grupo 1
EL025258K,Tipo 5062,Division 1,Grupo 1
EL025259,Tipo 3784,Division 1,Grupo 1
EL02526,Tipo 1763,Division 1,Grupo 1
EL025260,Tipo 3785,Division 1,Grupo 1
EL025264,Tipo 1764,Division 1,Grupo 1
EL025265,Tipo 1765,Division 1,Grupo 1
EL025266,Tipo 2734,Division 1,Grupo 1
EL025267,Tipo 3786,Division 1,Grupo 1
EL025267K,Tipo 5063,Division 1,Grupo 1
EL025268,Tipo 3787,Division 1,Grupo 1
EL025269,Tipo 2735,Division 1,Grupo 1
EL02526K,Unknown,Division 1,Grupo 1
EL02527,Tipo 5064,Division 1,Grupo 1
EL025270,Tipo 3788,Division 1,Grupo 1
EL025271,Tipo 5065,Division 1,Grupo 1
EL025277,Tipo 3789,Division 1,Grupo 1
EL025278,Tipo 1096,Division 1,Grupo 1
EL025279,Tipo 1097,Division 1,Grupo 1
EL02528,Tipo 3790,Division 1,Grupo 1
EL025280,Tipo 3791,Division 1,Grupo 1
EL025281,Tipo 5066,Division 1,Grupo 1
EL025281K,Tipo 5067,Division 1,Grupo 1
EL025282,Tipo 3792,Division 1,Grupo 1
EL025283,Tipo 5068,Division 1,Grupo 1
EL025284,Tipo 2736,Division 1,Grupo 1
EL025285,Tipo 5069,Division 1,Grupo 1
EL025286,Tipo 5070,Division 1,Grupo 1
EL025287,Tipo 3793,Division 1,Grupo 1
EL025288,Tipo 5071,Division 1,Grupo 1
EL025289,Tipo 5072,Division 1,Grupo 1
EL025290,Tipo 3794,Division 1,Grupo 1
EL025291,Tipo 3795,Division 1,Grupo 1
EL025292,Tipo 2737,Division 1,Grupo 1
EL025293,Tipo 7067,Division 1,Grupo 1
EL025294,Tipo 5073,Division 1,Grupo 1
EL025295,Tipo 3796,Division 1,Grupo 1
EL025295K,Tipo 5074,Division 1,Grupo 1
EL025296,Tipo 2738,Division 1,Grupo 1
EL025297,Tipo 3797,Division 1,Grupo 1
EL025298,Tipo 5075,Division 1,Grupo 1
EL025299,Tipo 5076,Division 1,Grupo 1
EL025300,Tipo 5077,Division 1,Grupo 1
EL025301,Tipo 5078,Division 1,Grupo 1
EL025302,Tipo 5079,Division 1,Grupo 1
EL025303,Tipo 5080,Division 1,Grupo 1
EL025304,Tipo 2739,Division 1,Grupo 1
EL025305,Tipo 5081,Division 1,Grupo 1
EL025306,Tipo 5082,Division 1,Grupo 1
EL025307,Tipo 5083,Division 1,Grupo 1
EL025308,Tipo 3798,Division 1,Grupo 1
EL025309,Tipo 3799,Division 1,Grupo 1
EL02531,Tipo 3800,Division 1,Grupo 1
EL025310,Tipo 5084,Division 1,Grupo 1
EL025311,Tipo 5085,Division 1,Grupo 1
EL025312,Tipo 5086,Division 1,Grupo 1
EL025313,Tipo 5087,Division 1,Grupo 1
EL025314,Tipo 5088,Division 1,Grupo 1
EL025315,Tipo 5089,Division 1,Grupo 1
EL025316,Tipo 2740,Division 1,Grupo 1
EL025317,Tipo 5090,Division 1,Grupo 1
EL025318,Tipo 5091,Division 1,Grupo 1
EL025319,Tipo 2741,Division 1,Grupo 1
EL025319K,Tipo 2741,Division 1,Grupo 1
EL02532,Tipo 711,Division 1,Grupo 1
EL025320,Tipo 5092,Division 1,Grupo 1
EL025321,Tipo 5093,Division 1,Grupo 1
EL025322,Tipo 3801,Division 1,Grupo 1
EL025323,Tipo 1766,Division 1,Grupo 1
EL025324,Tipo 5094,Division 1,Grupo 1
EL025325,Tipo 5095,Division 1,Grupo 1
EL025326,Tipo 3802,Division 1,Grupo 1
EL025327,Tipo 3803,Division 1,Grupo 1
EL025328,Tipo 5096,Division 1,Grupo 1
EL025329,Tipo 5097,Division 1,Grupo 1
EL02533,Tipo 3804,Division 1,Grupo 1
EL025330,Tipo 5098,Division 1,Grupo 1
EL025331,Tipo 5099,Division 1,Grupo 1
EL025332,Tipo 5100,Division 1,Grupo 1
EL025333,Tipo 5101,Division 1,Grupo 1
EL025334,Tipo 5102,Division 1,Grupo 1
EL025335,Tipo 5103,Division 1,Grupo 1
EL025336,Tipo 1767,Division 1,Grupo 1
EL025337,Tipo 2742,Division 1,Grupo 1
EL025338,Tipo 2743,Division 1,Grupo 1
EL025339,Tipo 7068,Division 1,Grupo 1
EL02534,Tipo 5104,Division 1,Grupo 1
EL025340,Tipo 7069,Division 1,Grupo 1
EL025340K,Tipo 7070,Division 1,Grupo 1
EL025341,Unknown,Division 1,Grupo 1
EL025342,Tipo 7071,Division 1,Grupo 1
EL025343,Tipo 7072,Division 1,Grupo 1
EL025344,Tipo 7073,Division 1,Grupo 1
EL025345,Tipo 5105,Division 1,Grupo 1
EL025346,Tipo 3805,Division 1,Grupo 1
EL025347,Unknown,Division 1,Grupo 1
EL025348,Tipo 5106,Division 1,Grupo 1
EL025349,Tipo 5107,Division 1,Grupo 1
EL02535,Tipo 1768,Division 1,Grupo 1
EL025350,Unknown,Division 1,Grupo 1
EL025351,Tipo 3806,Division 1,Grupo 1
EL025352,Tipo 7074,Division 1,Grupo 1
EL025353,Tipo 7075,Division 1,Grupo 1
EL025354,Tipo 2744,Division 1,Grupo 1
EL025355,Tipo 5108,Division 1,Grupo 1
EL025356,Tipo 5109,Division 1,Grupo 1
EL025357,Tipo 5110,Division 1,Grupo 1
EL025358,Tipo 7076,Division 1,Grupo 1
EL025359,Tipo 5111,Division 1,Grupo 1
EL02536,Tipo 3807,Division 1,Grupo 1
EL025360,Unknown,Division 1,Grupo 1
EL025361,Tipo 2745,Division 1,Grupo 1
EL025362,Tipo 3808,Division 1,Grupo 1
EL025363,Tipo 7077,Division 1,Grupo 1
EL025363LK,Tipo 5112,Division 1,Grupo 1
EL025363RK,Tipo 5113,Division 1,Grupo 1
EL025364,Unknown,Division 1,Grupo 1
EL025365,Tipo 7078,Division 1,Grupo 1
EL025366,Tipo 7079,Division 1,Grupo 1
EL025367,Tipo 7080,Division 1,Grupo 1
EL025368,Tipo 7081,Division 1,Grupo 1
EL025369,Tipo 7082,Division 1,Grupo 1
EL02537,Tipo 5114,Division 1,Grupo 1
EL025370,Tipo 7083,Division 1,Grupo 1
EL025371,Tipo 7084,Division 1,Grupo 1
EL025372,Tipo 7085,Division 1,Grupo 1
EL025374,Tipo 5115,Division 1,Grupo 1
EL025375,Tipo 7086,Division 1,Grupo 1
EL025376,Tipo 5116,Division 1,Grupo 1
EL025377,Tipo 5117,Division 1,Grupo 1
EL025378,Tipo 5118,Division 1,Grupo 1
EL025379,Tipo 5119,Division 1,Grupo 1
EL02538,Tipo 2746,Division 1,Grupo 1
EL025380,Tipo 3809,Division 1,Grupo 1
EL025381,Tipo 5120,Division 1,Grupo 1
EL025382,Tipo 5121,Division 1,Grupo 1
EL025383,Tipo 7087,Division 1,Grupo 1
EL025384,Tipo 1098,Division 1,Grupo 1
EL025385,Tipo 3810,Division 1,Grupo 1
EL025386,Tipo 3811,Division 1,Grupo 1
EL025387,Tipo 5122,Division 1,Grupo 1
EL025388,Unknown,Division 1,Grupo 1
EL025389,Unknown,Division 1,Grupo 1
EL025390,Tipo 5123,Division 1,Grupo 1
EL025391,Tipo 7088,Division 1,Grupo 1
EL025392,Tipo 2747,Division 1,Grupo 1
EL025393,Tipo 5124,Division 1,Grupo 1
EL025394,Tipo 7089,Division 1,Grupo 1
EL025395,Tipo 3812,Division 1,Grupo 1
EL025405,Tipo 5125,Division 1,Grupo 1
EL025406,Tipo 5126,Division 1,Grupo 1
EL025407,Tipo 3813,Division 1,Grupo 1
EL025408,Tipo 5127,Division 1,Grupo 1
EL025409,Tipo 5128,Division 1,Grupo 1
EL02541,Tipo 3814,Division 1,Grupo 1
EL025410,Tipo 3815,Division 1,Grupo 1
EL025411,Tipo 5129,Division 1,Grupo 1
