IDSupplier,YearMonth,total_amount_eur,num_products,num_invoices
PROV1485,2018-06,180139.12079318322,64,2
PROV1475,2016-09,178905.73548970427,49,3
PROV1585,2020-10,174155.89543676766,46,1
PROV1398,2019-01,173403.70187687382,99,2
PROV1585,2018-06,172399.17987896694,71,2
PROV1485,2016-07,171824.10249038247,96,4
PROV1485,2014-07,169483.13378176003,84,2
PROV1585,2021-04,169221.14063989487,54,2
PROV1485,2021-01,165979.94096484006,114,2
PROV1475,2019-09,165572.10120094617,41,2
PROV1475,2016-12,165052.05264005493,26,2
PROV1475,2021-01,164878.5515355749,38,3
PROV1485,2014-06,164132.5011976667,98,4
PROV1485,2015-12,163687.9264229101,84,4
PROV1475,2016-08,162507.90247330623,44,2
PROV1585,2016-12,161511.83279766556,45,2
PROV1475,2019-06,161357.194349913,33,2
PROV1475,2015-08,159154.249223218,62,3
PROV1485,2015-05,159085.17093785593,109,3
PROV1585,2016-01,158880.50017874272,55,3
PROV1485,2021-03,158384.22986192888,153,3
PROV1485,2016-02,158059.40298114595,85,2
PROV1485,2015-09,156879.04026342483,61,4
PROV1475,2018-03,154308.44366264163,19,1
PROV1475,2020-12,153173.46316020645,23,1
PROV1485,2019-10,152891.13972078628,103,1
PROV1485,2015-06,150689.78661546556,119,4
PROV1585,2016-10,149050.1584161367,44,2
PROV2025,2018-11,147305.80626631522,1,1
PROV40001000,2021-02,146923.51528584445,2,2
PROV1585,2016-09,145677.13789590917,37,3
PROV1485,2016-09,144493.52995740817,68,4
PROV1475,2019-03,144464.80394189796,25,2
PROV1475,2018-12,143594.79347638515,33,2
PROV1585,2020-09,141531.0814400908,46,2
PROV1585,2015-08,139893.81034597507,56,4
PROV1485,2018-02,139653.68254908145,51,2
PROV1485,2014-08,138480.08306031025,78,3
PROV1485,2018-12,138464.72998239772,64,2
PROV1585,2014-07,138321.93368343168,28,1
PROV1475,2019-08,136948.43594288806,32,2
PROV1485,2019-04,135416.60630773415,84,2
PROV1475,2016-10,134019.13090304693,42,2
PROV1485,2015-07,133975.78254488928,111,4
PROV40001000,2020-01,133647.00310432562,2,3
PROV1585,2017-01,132799.12656535406,45,3
PROV1976,2018-07,128634.15408952985,206,3
PROV41001800,2015-01,127214.52006543217,1,1
PROV1475,2014-06,127085.23880112862,37,1
PROV1398,2017-05,123895.00681947378,49,2
PROV40001000,2019-11,123605.58158826223,3,2
PROV1475,2019-04,121620.85556766826,13,1
PROV1585,2018-05,121102.28801039743,38,1
PROV1475,2021-05,119403.05000174015,24,1
PROV1585,2019-11,119251.01922068304,44,3
PROV1585,2020-03,118177.87920069865,40,1
PROV1398,2021-01,117662.17717555296,92,2
PROV41001800,2015-02,117025.31506629258,1,1
PROV1398,2020-01,116943.16697315458,41,1
PROV1485,2020-10,115819.34299843515,79,5
PROV1485,2020-11,115691.20075670617,72,2
PROV1585,2016-06,113855.88079154414,43,3
PROV1585,2019-12,113613.99921310255,49,2
PROV1585,2017-11,112278.35714222524,33,2
PROV1398,2015-10,111601.89572930273,43,2
PROV1398,2018-07,111235.2274234781,56,2
PROV1752,2017-04,111000.0,1,1
PROV1585,2016-03,110801.7444981652,42,1
PROV2197,2019-10,109469.26834051368,58,1
PROV40001000,2020-11,107558.19160582774,2,3
PROV1475,2020-06,107176.51318857838,19,1
PROV1475,2020-09,105726.56980386231,18,2
PROV1485,2014-12,105552.11705967072,8,2
PROV1475,2020-03,105535.65293472113,28,1
PROV1585,2017-05,105097.4739942075,36,1
PROV1585,2020-06,104858.94542309266,38,2
PROV1398,2021-02,104216.65580209257,95,3
PROV1585,2014-10,104030.11400859225,22,1
PROV1475,2017-07,103251.37254324174,24,2
PROV1585,2017-09,102038.8842542834,32,2
PROV1585,2015-03,101597.0925879348,34,2
PROV1485,2015-03,100005.4192321348,16,3
PROV1475,2019-11,99299.67891194644,25,1
PROV1475,2016-07,99195.86657153588,22,2
PROV1485,2020-09,98839.7345476939,42,6
PROV1585,2017-07,97082.28352882541,42,1
PROV41001800,2015-06,96167.66750672388,1,1
PROV1398,2016-07,95321.59668560707,28,1
PROV1475,2020-01,94893.80931189677,10,1
PROV1475,2020-10,94712.5953742983,14,1
PROV1485,2014-10,94079.27416055491,44,1
PROV1585,2016-02,93539.17007277026,18,1
PROV1485,2014-09,92186.49018570872,53,2
PROV1475,2020-08,92083.89022803912,18,1
PROV1398,2019-10,91144.83190180037,66,2
PROV1585,2019-06,90431.01004331894,41,2
PROV1475,2019-07,90345.23405412846,18,1
PROV1475,2018-02,89827.52294312471,20,1
PROV1938,2021-05,89710.8635189774,1,1
PROV1585,2020-08,89351.95367743922,45,3
PROV2197,2019-11,89054.62258565518,40,1
PROV40001000,2021-05,88948.92775791313,2,2
PROV1475,2018-08,88350.07967068901,19,1
PROV40001000,2021-03,88263.70885279545,2,1
PROV1398,2017-02,87725.07158670876,39,2
PROV1585,2020-05,87712.91270398532,36,1
PROV1475,2016-11,87401.148374675,26,2
PROV2034,2017-10,86924.5490936794,1,1
PROV1475,2015-11,86022.81494105523,35,2
PROV1475,2015-09,85414.8038745578,15,1
PROV40001000,2017-08,85340.48599271564,2,3
PROV1398,2014-07,84560.2104813662,32,1
PROV1976,2018-09,83878.64171784527,159,2
PROV1585,2015-10,83352.58589576407,35,2
PROV40001000,2017-11,83228.4010198301,2,3
PROV40001000,2020-10,82491.47014704409,2,5
PROV1475,2014-08,82414.68228525927,17,1
PROV1398,2016-01,81993.30660605938,37,1
PROV40001000,2018-09,80913.00459176747,2,4
PROV1398,2019-07,80736.3024766898,74,1
PROV1475,2016-02,80319.72330900894,48,3
PROV1475,2014-09,79488.05849522748,23,2
PROV1398,2021-03,78795.97056855788,19,1
PROV40001000,2017-06,78619.30011994138,2,5
PROV1485,2017-12,78304.42974624816,17,1
PROV40001000,2019-04,78193.0874304722,3,2
PROV40001000,2018-08,77909.67937196844,2,3
PROV1976,2017-10,77811.54033261041,177,3
PROV1398,2020-09,77235.10312820425,56,2
PROV1475,2019-10,76294.64368919621,17,1
PROV1816,2021-03,75995.34177705235,20,1
PROV40001000,2017-02,75773.49799120057,2,3
PROV1585,2016-04,75352.22329760248,14,3
PROV1585,2014-09,75208.44801429272,26,2
PROV1475,2019-12,75164.16763578563,13,1
PROV1585,2016-05,75035.79615382497,29,1
PROV1475,2014-11,74305.57959675275,19,1
PROV1485,2018-07,73990.32988400265,19,4
PROV1398,2016-09,73729.192379047,20,1
PROV1475,2020-11,73341.52836378086,29,2
PROV1585,2014-06,72312.51905759168,15,1
PROV1870,2016-08,70820.93658138144,9,2
PROV40001000,2017-04,69762.4548535669,2,2
PROV40001000,2016-08,69669.17175748578,2,3
PROV1816,2019-11,69651.56884339465,11,2
PROV2017,2018-08,69383.81526923383,29,3
PROV1834,2016-08,68740.98782335916,35,2
PROV40001000,2014-10,68674.73656025222,3,3
PROV1061,2016-11,68555.72402693373,174,2
PROV2017,2018-01,68455.25986695415,18,2
PROV1475,2018-09,68172.31516788056,25,1
PROV1558,2021-02,67321.38597995933,1,1
PROV1834,2016-10,66994.64031892834,34,2
PROV41001800,2017-06,66725.64922489699,2,1
PROV1475,2015-02,66721.72161281979,19,1
PROV2017,2018-11,66537.74875908936,29,2
PROV1585,2015-01,65927.62963633673,22,1
PROV1475,2016-04,65694.39450192999,24,3
PROV1976,2018-01,65513.59413538008,76,2
PROV2017,2018-03,64969.71479605629,37,2
PROV41001800,2017-08,64962.8926511733,12,1
PROV2021,2017-10,64538.24775593781,1,1
PROV40001000,2020-02,63758.23039952873,3,2
PROV1585,2019-04,63663.68617945952,8,1
PROV1585,2015-09,63468.15307897187,32,2
PROV40001000,2016-05,63425.81059784112,2,2
PROV1475,2015-10,63420.082790364046,36,1
PROV40001000,2019-08,63380.28516941587,2,2
PROV1782,2014-09,63060.0,1,1
PROV1475,2018-10,62149.305785121345,23,1
PROV40001000,2015-04,61852.752492255786,3,2
PROV1475,2017-10,61803.8026001375,23,1
PROV1485,2020-02,61198.68557180408,9,2
PROV1398,2018-01,61113.34329477966,45,1
PROV41001800,2014-12,61020.0,1,1
PROV40002330,2019-04,60671.811913829166,3,5
PROV40001000,2015-07,60322.353781432015,3,2
PROV1475,2016-06,60319.610710814035,26,3
PROV2197,2021-02,58615.89867251216,86,1
PROV1398,2016-10,58562.84668141765,23,1
PROV1816,2019-10,57992.16971037246,6,1
PROV41001401,2017-01,57987.0,1,1
PROV1061,2015-05,57951.37282652078,195,4
PROV40001000,2019-05,57690.233467195016,2,2
PROV1816,2018-11,57495.75982732932,9,1
PROV40001000,2020-12,57329.84874110526,3,5
PROV1475,2018-05,57244.321505521715,17,1
PROV1870,2016-09,57050.283147639864,9,1
PROV1976,2017-07,56061.81920776419,144,4
PROV1475,2021-03,55661.3345403482,21,1
PROV1475,2016-05,55378.73749743019,24,2
PROV1398,2017-08,54651.26016732292,35,1
PROV1398,2017-10,54463.37600683062,23,1
PROV1816,2020-09,54235.05950465335,12,1
PROV1061,2017-03,54223.14538410915,180,3
PROV1398,2014-10,54220.41947742791,20,1
PROV41001800,2014-11,54216.854370822,1,1
PROV2164,2019-07,54193.48213429779,21,1
PROV1441,2016-03,53945.208372560315,2,2
PROV1398,2019-08,52818.413570890916,61,1
PROV1558,2015-09,52752.506032671554,1,2
PROV1870,2016-06,52724.00070074271,9,1
PROV1585,2014-12,52019.56461460733,26,2
PROV40001000,2018-04,51295.17783335036,1,1
PROV1938,2018-07,51012.46886617232,1,2
PROV1976,2019-06,50907.53899706031,138,3
PROV1398,2017-09,50695.935330782944,16,1
PROV1397,2017-07,50629.772588270964,8,4
PROV1397,2019-05,50160.753077508365,10,1
PROV40001000,2014-08,49405.89990934951,1,1
PROV1485,2018-09,49321.1720504343,8,1
PROV1475,2017-05,49233.469227181464,18,1
PROV40001000,2018-02,48660.74532342262,2,1
PROV1816,2020-02,48519.9351824924,12,1
PROV1398,2018-10,48517.18289303972,54,1
PROV1397,2018-04,48418.44136487464,7,1
PROV1475,2017-03,48264.53328419927,23,1
PROV40001000,2014-11,47981.5573623557,3,2
PROV1976,2017-05,47945.5912090547,138,3
PROV1976,2019-05,47772.82620937832,147,1
PROV41001800,2014-08,47640.0,1,1
PROV1397,2016-05,47401.08583232718,12,3
PROV1397,2020-10,47299.8136491709,13,2
PROV1976,2017-06,47182.14920493227,129,3
PROV40001000,2020-07,47157.8001304668,2,3
PROV1976,2021-01,46874.10345843698,152,2
PROV1585,2019-05,46127.847227796345,29,2
PROV40001000,2015-09,45872.734595048154,4,4
PROV1475,2021-04,45706.549625128275,19,1
PROV40001000,2016-07,45527.90023667287,1,1
PROV1649,2016-08,45511.13207980801,5,3
PROV1397,2017-05,45424.58901670224,10,3
PROV1734,2017-07,45377.77997575321,2,1
PROV1398,2020-02,45370.42931708025,82,2
PROV1398,2020-08,45061.19867086512,32,1
PROV1976,2017-11,44861.81533126509,112,2
PROV40001000,2016-11,44764.718921046464,2,3
PROV1936,2018-10,44748.17419663653,26,1
PROV40001000,2020-09,44719.117423542535,2,2
PROV1061,2016-04,44136.08733542068,132,3
PROV1938,2018-06,43442.970099820515,1,4
PROV1953,2017-05,43291.825782306616,1,1
PROV1397,2020-04,43195.83615066258,4,1
PROV1976,2018-06,43064.98275142607,110,1
PROV1976,2019-07,42755.21690857205,126,2
PROV1398,2014-06,42710.48251846248,34,1
PROV40001000,2018-01,42692.73795488264,2,2
PROV1027,2020-10,42666.42590930105,5,2
PROV1397,2016-03,42477.2492495143,7,2
PROV1485,2020-07,42411.57810375646,21,4
PROV1834,2017-01,42212.57433268807,16,1
PROV40001000,2020-08,41873.94436773561,1,1
PROV1398,2018-09,41675.424290753064,55,1
PROV1936,2018-11,41392.81350264585,17,1
PROV1585,2015-05,41271.02614821894,25,3
PROV1976,2019-04,40390.449027425995,158,1
PROV1061,2017-01,40346.12154505954,138,2
PROV1870,2016-10,40100.11163194875,7,1
PROV1938,2021-04,39431.00513257611,1,2
PROV1027,2020-12,39311.68287122411,3,1
PROV1408,2017-04,39281.10092021964,1,1
PROV1398,2016-04,39186.86779809742,21,1
PROV1649,2015-08,39068.541185558905,3,2
PROV40001000,2018-03,38300.10245505809,3,4
PROV1816,2021-01,38283.8380480603,10,1
PROV1816,2019-01,38246.99124002677,6,1
PROV1756,2020-10,38138.90540501007,68,3
PROV1649,2017-06,38111.70057241569,4,3
PROV1398,2015-01,38008.67884108049,35,1
PROV2164,2019-06,37977.109212049836,22,1
PROV1649,2017-04,37926.28174914071,5,3
PROV1597,2016-08,37063.105103661066,7,1
PROV1133,2021-05,37011.0121568775,23,8
PROV1441,2015-05,36968.15105313397,2,2
PROV1398,2016-06,36499.93868489566,27,1
PROV40000520,2018-01,36336.3975866971,4,4
PROV1756,2020-03,36179.427343618714,57,1
PROV1875,2019-01,36007.949872836216,40,1
PROV1597,2015-11,35983.77098690634,20,5
PROV1734,2017-08,35851.10079218359,2,1
PROV40002330,2018-05,35705.21359958653,3,5
PROV40002220,2018-04,35594.175643736984,11,1
PROV1398,2016-08,35142.72247564329,39,1
PROV40001000,2015-11,34955.622714741774,3,2
PROV1816,2019-02,34859.81630191771,8,1
PROV1834,2016-11,34808.86188014858,23,1
PROV1398,2020-06,34790.177097956504,16,1
PROV1597,2015-08,34748.04328674962,20,2
PROV1398,2015-05,34670.02409627668,44,1
PROV1061,2016-07,34629.99250157586,127,2
PROV2164,2020-07,34606.971361896474,19,1
PROV1397,2019-09,34560.62460959821,9,4
PROV40001000,2018-05,34545.01748861651,2,2
PROV1649,2019-07,34449.30292167693,2,2
PROV40000520,2018-02,34346.6922191683,6,5
PROV1398,2020-11,34250.61134297894,72,1
PROV1397,2015-05,34169.035782410836,6,1
PROV1397,2020-11,34012.7722162537,6,1
PROV1597,2014-06,33998.271301666864,13,3
PROV1875,2020-05,33963.668906889776,53,1
PROV1976,2018-05,33861.63216388984,93,1
PROV40001000,2019-02,33841.8368511634,2,2
PROV1976,2018-02,33679.99565139137,104,3
PROV40001000,2019-06,33558.60080634097,2,2
PROV1976,2020-01,33531.10616141837,136,2
PROV1397,2021-01,33387.34566663877,5,1
PROV1061,2015-09,33137.90983597931,95,3
PROV1397,2019-04,33090.83612233669,9,2
PROV1027,2021-01,32715.669824217366,9,2
PROV1734,2018-11,32543.986455579223,3,3
PROV1875,2020-08,32505.53222569897,43,1
PROV1976,2019-03,32478.985399713074,119,2
PROV40002220,2019-09,32477.915259570582,11,1
PROV1964,2018-07,32433.68924284386,38,3
PROV1585,2015-11,32284.021727406973,25,3
PROV40002220,2018-06,32210.386318475186,12,2
PROV1834,2017-07,32194.983779560524,25,1
PROV1936,2017-09,31971.719726936757,22,1
PROV1734,2015-11,31862.42891523398,7,4
PROV2318,2021-01,31740.104920291436,19,2
PROV1597,2016-01,31684.99797415172,19,2
PROV1976,2021-04,31572.97910258168,147,2
PROV1398,2015-08,31419.13982584032,56,1
PROV40000520,2015-10,31291.26276941655,4,4
PROV1734,2018-04,31273.18188127486,3,2
PROV40000520,2015-04,31269.347879840396,6,6
PROV1976,2017-09,31263.900354128975,90,2
PROV1441,2017-01,31222.95952111258,2,2
PROV40002330,2019-07,31113.54791726161,3,5
PROV1398,2019-09,31050.985733221365,38,1
PROV1027,2019-08,31029.822509113965,7,1
PROV1398,2018-08,31021.950825737098,10,1
PROV1475,2020-07,30779.374653204228,21,1
PROV40001000,2018-11,30741.478762808987,3,2
PROV40000520,2019-04,30600.286644348056,3,3
PROV40000520,2015-06,30557.04436368554,4,5
PROV1398,2015-09,30499.491730197267,28,1
PROV40000520,2015-09,30478.882661138625,6,4
PROV2017,2017-10,30474.439885545904,14,1
PROV1398,2014-09,30471.224818568808,43,1
PROV1397,2014-09,30441.273772199384,9,2
PROV1397,2016-11,30435.743090384887,4,2
PROV1597,2014-07,30403.868720720573,13,1
PROV2103,2018-10,30396.777108394697,1,1
PROV1397,2020-08,30319.518510382033,11,1
PROV1398,2018-11,30278.231496805634,43,1
PROV1938,2019-05,30118.911599626754,1,2
PROV40000520,2020-02,30041.26457828532,6,6
PROV2017,2017-09,29971.48229272319,23,1
PROV1936,2017-06,29916.166585075654,16,1
PROV40000520,2020-03,29896.679121526864,5,4
PROV1976,2018-04,29857.80708547675,85,1
PROV40002220,2021-04,29851.353148223192,21,1
PROV1441,2015-02,29732.257366875845,2,2
PROV1649,2021-06,29731.39803180182,13,9
PROV40000520,2019-10,29634.731440593296,5,3
PROV40000520,2018-05,29547.833655677274,3,6
PROV1441,2015-06,29532.050086679577,2,3
PROV1441,2017-05,29528.308143494727,2,5
PROV2164,2021-01,29491.46068102315,18,1
PROV2017,2018-07,29312.354504736824,18,2
PROV40001000,2017-10,29302.045325592804,3,2
PROV1734,2017-11,29273.06527859855,2,1
PROV1441,2017-02,29243.07258986788,2,1
PROV40000520,2015-02,29167.057840965266,5,4
PROV1834,2016-04,29124.740971237447,23,2
PROV1397,2018-02,29116.711375790594,9,2
PROV1398,2015-12,28840.012485745247,56,1
PROV1936,2018-03,28827.626201644012,23,1
PROV1475,2015-03,28778.680701350742,11,1
PROV1323,2018-08,28749.431962545867,1,1
PROV1398,2016-05,28693.47975466236,30,1
PROV1597,2015-10,28692.991357792736,23,3
PROV1475,2015-01,28536.92167532408,10,1
PROV1777,2017-04,28487.371522095047,1,1
PROV1976,2019-02,28456.5527939596,116,1
PROV40002330,2019-06,28349.40977392816,3,5
PROV1649,2017-01,28305.564142043673,3,1
PROV2164,2019-03,28273.695095805684,20,2
PROV1756,2019-10,28235.13897243908,59,3
PROV1734,2017-04,28123.72474151379,3,2
PROV1734,2018-10,28107.043321478526,4,6
PROV1397,2016-02,28052.993992040916,7,1
PROV40002330,2021-04,28032.81547361026,3,4
PROV1061,2014-09,27964.216966589036,83,5
PROV1976,2020-03,27913.459205916213,126,1
PROV1875,2018-08,27590.397582046775,44,2
PROV1398,2019-06,27580.95956068486,45,1
PROV40002330,2017-01,27564.11708957822,3,5
PROV1441,2015-07,27517.293255629407,2,2
PROV1027,2019-05,27510.23596617615,6,3
PROV1441,2016-06,27496.699909915114,2,2
PROV1936,2018-08,27493.128266764652,15,1
PROV40002220,2018-10,27478.03556423976,20,2
PROV1397,2017-06,27431.459763968214,5,1
PROV1475,2015-06,27392.952309157088,17,2
PROV1939,2016-11,27270.887664819293,1,1
PROV1964,2019-01,27195.477863309443,19,1
PROV1875,2018-12,27193.685562995022,65,1
PROV1397,2016-09,27142.210652421825,14,5
PROV1976,2020-09,27065.59242893941,99,1
PROV1398,2015-07,27047.548905741685,28,1
PROV40002330,2018-07,27032.33009730975,4,4
PROV40000520,2019-05,27017.58932775057,4,4
PROV40001000,2019-07,26936.61474990529,3,2
PROV1976,2017-08,26891.930476822195,71,2
PROV1834,2017-06,26838.469669647795,15,1
PROV1936,2017-08,26823.988551479157,14,1
PROV1649,2016-07,26816.015690217755,5,2
PROV1649,2018-06,26726.489314320177,1,1
PROV40002330,2016-08,26691.082791784767,2,3
PROV1441,2015-08,26687.017613076747,2,2
PROV1734,2019-07,26609.46681361323,3,2
PROV1398,2016-03,26604.726033041858,6,1
PROV1441,2014-08,26601.656982753597,1,1
PROV1398,2017-01,26578.375319253602,20,1
PROV40000520,2016-10,26568.599137008787,5,3
PROV40001000,2019-09,26499.00496825634,2,2
PROV40002220,2017-08,26490.98052514576,9,1
PROV1816,2021-04,26378.529025863452,7,1
PROV40000520,2016-08,26317.745435323846,4,4
PROV40000520,2016-03,26306.901456237272,4,5
PROV2197,2021-04,26282.16847712916,23,2
PROV40000520,2019-09,26176.082911149097,4,4
PROV1649,2016-05,26173.66181050641,4,4
PROV1875,2021-01,26148.656841502252,55,2
PROV1964,2021-01,25984.919946418013,9,1
PROV1027,2021-04,25964.85165982496,4,4
PROV40002330,2017-03,25948.753364088923,3,4
PROV1649,2018-03,25816.945031915126,1,1
PROV1061,2016-12,25720.155552475368,45,2
PROV1875,2017-03,25660.347978554557,41,1
PROV1964,2020-02,25588.348153986968,25,1
PROV1816,2019-08,25493.156479419176,2,1
PROV1397,2017-10,25470.781102761415,11,2
PROV1976,2019-09,25462.577878241784,94,2
PROV40001000,2020-04,25426.19531193757,2,2
PROV40000520,2017-04,25393.80280616931,3,4
PROV1597,2016-10,25231.55075315046,11,1
PROV41001800,2017-01,25225.56944659496,3,1
PROV1816,2020-01,25157.390873229702,10,2
PROV40000520,2016-12,25148.195177676454,5,5
PROV1756,2019-06,25105.460847173432,60,3
PROV1061,2015-07,25028.85146234186,92,3
PROV1441,2016-05,24962.889549513708,1,3
PROV1733,2017-10,24933.151663034492,4,1
PROV1597,2014-09,24922.877343373824,14,1
PROV1398,2016-11,24880.611851742022,25,1
PROV1061,2014-06,24818.167958051443,87,4
PROV41001800,2018-03,24775.651526144044,3,3
PROV40002330,2020-08,24753.402406645164,4,7
PROV40000520,2014-09,24714.130746671537,5,5
PROV1170,2017-02,24653.752190944397,2,1
PROV1649,2016-11,24646.46796557613,5,2
PROV1061,2016-09,24501.45121795388,111,2
PROV1397,2015-10,24497.849789022606,10,4
PROV1733,2018-03,24493.05499166647,4,1
PROV1597,2015-06,24463.96641768366,12,5
PROV1649,2016-06,24438.845234356428,5,4
PROV40000520,2014-07,24414.31336199627,5,6
PROV1649,2015-07,24381.485235397035,4,3
PROV1875,2020-09,24363.685200486678,52,1
PROV40002330,2020-07,24286.666062383294,4,5
PROV1597,2016-09,24207.283835372546,9,2
PROV2164,2019-10,24202.846126371947,14,1
PROV1397,2018-05,24193.87568805434,4,2
PROV1558,2020-09,24110.15420275916,1,1
PROV1585,2017-03,24002.268900278366,18,1
PROV40001000,2016-02,23922.600459164354,3,2
PROV1964,2020-08,23904.011323190898,23,1
PROV2318,2020-06,23872.430808171375,14,1
PROV1441,2021-04,23703.304810372014,1,2
PROV1441,2015-10,23650.51578520091,1,2
PROV40002330,2018-10,23642.382888901848,2,3
PROV1756,2020-12,23552.823353706106,23,1
PROV1649,2014-10,23403.433250128674,1,1
PROV40000520,2017-08,23394.00404253127,4,2
PROV40000520,2018-09,23365.38439028462,3,4
PROV1976,2017-04,23352.397606252616,84,2
PROV1398,2018-06,23348.74713232422,28,2
PROV1558,2015-07,23233.787464559384,1,2
PROV40000520,2016-07,23196.118219903317,4,4
PROV1756,2021-02,23190.175447424343,56,2
PROV40000520,2015-03,23141.556491111463,4,5
PROV40002330,2019-08,23041.777541309493,4,4
PROV1734,2017-05,23008.577972451832,2,2
PROV40002330,2017-10,22895.000949947877,4,3
PROV2318,2021-05,22855.80078623684,19,1
PROV40001000,2018-07,22838.105289542284,3,3
PROV1734,2018-02,22795.92596928492,3,2
PROV1936,2020-03,22730.29749292904,19,1
PROV1756,2020-01,22673.53063062416,53,1
PROV2164,2019-01,22663.208964553378,21,2
PROV40000520,2016-02,22660.94922587381,4,4
PROV1441,2015-04,22629.18959364658,1,3
PROV40002220,2017-10,22622.086039284015,13,2
